word1,word2,count,Cn1,Prob
anyth,problem,1,10,0.025644221
anyth,wash,1,10,0.02528632
anytim,complet,1,2,0.125636267
anytim,soon,1,2,0.125397667
anyway,digress,1,6,0.0417462
anyway,experi,1,6,0.042064334
anyway,go,1,6,0.045325203
anyway,just,1,6,0.045802404
anyway,matter,1,6,0.0419848
anyway,well,1,6,0.043336868
anywher,near,1,1,0.2502386
ap,temporarili,1,1,0.250079533
apa,john,1,3,0.083651467
apa,ment,1,3,0.083412867
apa,ray,1,3,0.083571934
apolog,though,1,1,0.250954401
app,move,1,2,0.125874867
app,world,1,2,0.126272534
appar,affluent,1,3,0.083412867
appar,later,1,3,0.083969601
appar,new,1,3,0.086037469
appeal,folk,1,2,0.125159067
appeal,walk,1,2,0.125795334
appear,aggressor,1,8,0.031329533
appear,crack,1,8,0.031568134
appear,exact,1,8,0.031329533
appear,much,1,8,0.033476935
appear,overprotect,1,8,0.031329533
appear,reign,1,8,0.031409067
appear,select,1,8,0.0317272
appear,sometim,1,8,0.031806734
applaud,don,1,3,0.086355603
applaud,persever,1,3,0.0834924
applaud,plan,1,3,0.084208201
appli,citi,1,1,0.250874867
applic,form,1,2,0.1252386
applic,interdepend,1,2,0.125079533
appoint,first,1,2,0.127545069
appoint,offici,1,2,0.125318134
appreci,follow,1,2,0.126352068
appreci,tea,1,2,0.125556734
approach,turn,1,1,0.250954401
appropri,deserv,1,3,0.0834924
appropri,level,1,3,0.0834924
appropri,time,1,3,0.08723047
approv,approv,1,2,0.125159067
approv,develop,1,2,0.125556734
approxim,ordinari,1,1,0.250079533
arch,drill,1,1,0.2502386
architectur,school,1,1,0.251033934
archiv,digit,1,1,0.2502386
area,clean,1,6,0.042064334
area,no,1,6,0.042263167
area,research,1,6,0.041799222
area,swindon,2,6,0.208399611
area,william,1,6,0.041799222
aren,broadcast,1,4,0.062659067
aren,die,1,4,0.063374867
aren,enough,1,4,0.063136267
aren,just,1,4,0.066635737
arena,footbal,1,2,0.1252386
arena,two,1,2,0.126431601
argu,ride,1,1,0.250079533
argument,juror,1,2,0.125079533
argument,let,1,2,0.126908802
aria,singl,1,1,0.2504772
arm,across,1,5,0.050079533
arm,becom,1,5,0.0504772
arm,length,1,5,0.050079533
arm,snap,1,5,0.0502386
arm,yank,1,5,0.050079533
armchair,toe,1,1,0.250318134
around,bit,1,13,0.019891508
around,corner,2,13,0.096300677
around,danc,1,13,0.019524431
around,face,1,13,0.019744677
around,newsroom,1,13,0.019304185
around,one,1,13,0.022828126
around,sorri,1,13,0.019597846
around,talk,1,13,0.019891508
around,tile,1,13,0.019304185
around,well,1,13,0.020772494
around,world,1,13,0.020405416
around,year,1,13,0.021212986
arpèg,franc,1,1,0.250079533
arrieta,allow,1,1,0.2504772
arrow,paint,1,1,0.250397667
arsenic,organ,1,1,0.250318134
asap,got,1,2,0.126749735
asap,just,1,2,0.129135737
aseltin,said,1,1,0.254772004
asfaw,dingamo,1,1,0.250079533
ashland,road,1,1,0.250715801
ashton,kutcher,1,1,0.250079533
asian,middl,1,1,0.250318134
ask,call,1,8,0.032283934
ask,ed,1,8,0.031568134
ask,environ,1,8,0.031568134
ask,follow,1,8,0.032602068
ask,ohio,1,8,0.031409067
ask,polic,1,8,0.031965801
ask,ship,1,8,0.031329533
ask,someon,1,8,0.031647667
ass,day,1,6,0.044132202
ass,fight,1,6,0.0419848
ass,ing,1,6,0.0419848
ass,ive,1,6,0.041825733
ass,right,1,6,0.043098268
ass,will,1,6,0.04524567
assault,sleep,1,1,0.250397667
assess,agenc,1,1,0.250318134
asset,away,1,2,0.125874867
asset,year,1,2,0.127147402
assign,track,1,1,0.250556734
assist,head,1,4,0.063215801
assist,keep,1,4,0.063693001
assist,mother,1,4,0.063215801
assist,news,1,4,0.0629772
associ,passion,1,1,0.250159067
astonia,spelt,1,1,0.250079533
astroturf,collegi,1,1,0.250079533
atari,made,1,1,0.251272534
athlet,director,1,1,0.2502386
ation,system,1,2,0.125397667
ation,vicki,1,2,0.125079533
attack,leav,1,2,0.1252386
attack,panduh,1,2,0.125079533
attempt,bottl,1,3,0.083412867
attempt,fraud,1,3,0.0834924
attempt,perfect,1,3,0.083571934
attend,confer,1,4,0.062897667
attend,degre,1,4,0.062659067
attend,tonight,1,4,0.063613468
attend,week,1,4,0.064408802
attent,hea,1,3,0.084128667
attent,stuff,1,3,0.083890067
attent,will,1,3,0.086912337
attorney,compani,1,3,0.083969601
attorney,general,1,3,0.083651467
attorney,say,1,3,0.085401202
attract,finish,1,2,0.125159067
attract,smoke,1,2,0.125318134
atx,challeng,1,1,0.2502386
auction,donat,1,3,0.083571934
auction,goal,1,3,0.0834924
auction,show,1,3,0.084446801
audienc,glisten,1,1,0.250079533
audiovisu,multimedia,1,1,0.250079533
aug,nobodi,1,1,0.250159067
august,day,1,1,0.252465536
auster,track,1,1,0.250556734
austinhormonedoctor,com,1,1,0.250318134
auteur,visionari,1,1,0.250079533
author,polic,1,1,0.250715801
autogroup,divis,1,1,0.250079533
autom,vote,1,1,0.250397667
automot,product,1,1,0.250318134
